food_id,nutrient_id,nutrient_value
5580,221,0
5580,255,22.2
5580,262,0
5580,263,0
5580,268,1887
5580,269,0.85
5580,291,0
5580,301,800
5580,303,0.95
5580,304,51
5580,305,807
5580,306,107
5580,307,63
5580,309,3.19
5580,312,0.037
5580,317,23.9
5580,319,123
5580,321,32
5580,323,0.27
5580,324,22
5580,339,0.6
5580,401,0
5580,404,0.04
5580,405,0.39
5580,406,0.32
5580,409,7.947
5580,415,0.1
5580,417,10
5580,418,1.4
5580,430,2
5580,431,0
5580,601,79
5580,606,19.051
5580,607,1.509
5580,608,0.559
5580,609,0.3
5580,610,0.749
5580,611,1.019
5580,612,3.377
5580,613,8.092
5580,614,2.677
5580,617,7.732
5580,618,0.32
5580,619,0.34
5580,620,0
5580,621,0
5580,626,0.46
5580,627,0
5580,628,0
5580,629,0
5580,630,0
5580,631,0
5580,645,8.721
5580,646,0.659
5580,806,10
5580,814,125
5580,815,10
5580,825,0.254
5580,827,0
5580,831,0.34
5580,832,0
5580,834,0
5580,835,0
5580,836,0
5580,837,0
5580,840,0
5580,852,0
5580,854,0
5580,855,0
5580,861,0
5580,862,15.4
5580,868,0.34
5580,869,0.254
5582,203,0.9
5582,204,0.1
5582,205,4.35
5582,207,2.15
5582,208,22
5582,221,0
5582,255,92.5
5582,262,0
5582,263,0
5582,268,92
5582,269,1.78
5582,291,2.5
5582,301,30
5582,303,1.47
5582,304,13
5582,305,20
5582,306,170
5582,307,308
5582,309,0.19
5582,312,0.096
5582,315,0.151
5582,317,0.6
5582,319,0
5582,321,8
5582,323,0.14
5582,324,0
5582,339,0
5582,401,14.7
5582,404,0.02
5582,405,0.02
5582,406,0.14
5582,409,0.305
5582,410,0.093
5582,415,0.09
5582,417,24
5582,418,0
5582,430,13
5582,431,0
5582,601,0
5582,606,0.026
5582,607,0
5582,608,0
5582,609,0.001
5582,610,0.001
5582,611,0.001
5582,612,0
5582,613,0.021
5582,614,0.002
5582,617,0.01
5582,618,0.026
5582,619,0.025
5582,620,0
5582,621,0
5582,626,0
5582,627,0
5582,628,0
5582,629,0
5582,630,0
5582,631,0
5582,645,0.01
5582,646,0.051
5582,806,24
5582,814,1
5582,815,24
5582,817,0
5582,821,0
5582,831,0.025
5582,832,0
5582,834,5
5582,835,0
5582,836,0
5582,837,295
5582,840,0
5582,852,0
5582,854,0
5582,855,0
5582,861,0
5582,862,10.4
5582,863,0.5
5585,203,7.79
5585,204,23.36
5585,205,65.32
5585,207,1.44
5585,208,503
5585,221,0
5585,255,2.09
5585,262,0
5585,263,0
5585,268,2103
5585,269,1
5585,291,5.3
5585,301,174
5585,303,2.32
5585,304,146
5585,305,200
5585,306,215
5585,307,15
5585,309,2.46
5585,312,0.523
5585,317,6.7
5585,319,0
5585,321,37
5585,323,3.53
5585,324,0
5585,339,0
5585,401,0
5585,404,0.015
5585,405,0.1
5585,406,1.262
5585,409,2.69
5585,410,1.185
5585,415,0.213
5585,417,10
5585,418,0.36
5585,430,0.7
5585,431,0
5585,601,0
5585,606,2.458
5585,607,0
5585,608,0
5585,609,0
5585,610,0
5585,611,0.045
5585,612,0.002
5585,613,1.856
5585,614,0.418
5585,617,9.242
5585,618,8.86
5585,619,1.096
5585,620,0
5585,621,0
5585,626,0.034
5585,627,0
5585,628,0.184
5585,629,0
5585,630,0.06
5585,631,0
5585,645,9.52
5585,646,9.956
5585,806,10
5585,814,4
5585,815,10
